time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  1108,  157,  305,  571,  112,  1000,  9999,  9999,  2,  277,  177, -1320
  1198,  157,  305,  572,  60,  1000,  7999,  9999,  20, -188,  378, -1020
  1280,  162,  305,  572,  148,  1000,  9999,  9999,  0, -156, -20, -1081
  1371,  161,  305,  571,  96,  1000,  7999,  9999,  18,  121,  215, -972
  1453,  161,  305,  569,  125,  1000,  9999,  9999,  6,  45,  275, -1062
  1543,  161,  305,  571,  92,  1000,  9999,  9999,  14,  27,  275, -1060
  1629,  161,  305,  569,  94,  1000,  9999,  9999,  11,  48,  299, -1040
  1716,  160,  305,  571,  126,  1000,  9999,  9999,  7,  41,  251, -1082
  1803,  162,  305,  571,  60,  1000,  7999,  9999,  19,  47,  248, -1076
  1888,  161,  305,  571,  148,  1000,  9999,  9999, -2,  49,  272, -1087
  1971,  162,  305,  570,  168,  1000,  9999,  9999,  8,  39,  245, -1061
  2058,  161,  305,  570,  52,  1000,  7999,  9999,  23,  59,  216, -1075
  2147,  161,  305,  570,  121,  1000,  9999,  9999,  0,  41,  252, -1030
  2230,  162,  305,  570,  120,  1000,  9999,  9999,  11,  34,  292, -1055
  2321,  162,  305,  569,  74,  1000,  7999,  9999,  15,  52,  268, -1041
  2408,  162,  305,  569,  66,  1000,  9999,  9999,  11,  38,  256, -1055
  2496,  162,  305,  568,  62,  1000,  9999,  9999,  12,  45,  294, -1101
  2584,  160,  305,  569,  91,  1000,  9999,  9999,  8,  51,  272, -1082
  2673,  161,  305,  571,  166,  1000,  9999,  9999,  3,  45,  249, -1035
  2761,  161,  305,  572,  84,  1000,  7999,  9999,  19,  41,  248, -1017
  2842,  161,  305,  570,  106,  1000,  9999,  9999,  7,  38,  238, -1053
  2929,  161,  305,  570,  101,  1000,  9999,  9999,  10,  46,  263, -1037
  3020,  161,  305,  569,  58,  1000,  7999,  9999,  15,  45,  228, -1095
  3104,  162,  305,  572,  134,  1000,  9999,  9999,  2,  50,  273, -1093
  3189,  161,  305,  570,  147,  1000,  9999,  9999,  9,  55,  282, -1063
  3271,  162,  305,  571,  119,  1000,  9999,  9999,  12,  47,  283, -1053
  3352,  161,  305,  570,  163,  1000,  9999,  9999,  4,  42,  285, -1064
  3443,  157,  305,  571,  112,  1000,  9999,  9999,  14,  44,  252, -1105
  3525,  161,  305,  570,  131,  1000,  9999,  9999,  8,  39,  299, -1008
  3611,  161,  305,  571,  136,  1000,  9999,  9999,  9,  55,  261, -1050
  3698,  160,  305,  570,  100,  1000,  9999,  9999,  13,  47,  227, -1081
  3776,  161,  305,  570,  209,  1000,  9999,  9999, -2,  35,  237, -1044
  3862,  160,  305,  570,  144,  1000,  9999,  9999,  14,  45,  259, -1047
  3946,  160,  305,  569,  141,  1000,  9999,  9999,  9,  53,  226, -1060
  4036,  161,  305,  572,  71,  1000,  7999,  9999,  18,  48,  228, -1054
  4121,  162,  305,  570,  83,  1000,  9999,  9999,  8,  45,  261, -1064
  4209,  161,  305,  571,  111,  1000,  9999,  9999,  8,  38,  307, -1075
  4290,  161,  305,  570,  165,  1000,  9999,  9999,  4,  36,  285, -1056
  4376,  162,  305,  571,  106,  1000,  7999,  9999,  16,  47,  261, -1104
  4462,  162,  305,  568,  133,  1000,  9999,  9999,  6,  54,  281, -1060
  4545,  162,  305,  570,  140,  1000,  9999,  9999,  9,  47,  217, -1075
  4631,  161,  305,  569,  153,  1000,  9999,  9999,  8,  57,  279, -1039
  4710,  162,  305,  570,  202,  1000,  9999,  9999,  5,  50,  230, -1035
  4796,  161,  305,  569,  79,  1000,  7999,  9999,  22,  49,  257, -1078
  4882,  162,  305,  569,  86,  1000,  9999,  9999,  9,  36,  301, -1082
  4968,  160,  305,  569,  134,  1000,  9999,  9999,  5,  48,  263, -1092
  5047,  158,  305,  569,  223,  1000,  9999,  9999,  2,  52,  266, -1033
  5133,  161,  305,  569,  104,  1000,  7999,  9999,  21,  49,  314, -1104
  5216,  162,  305,  570,  161,  1000,  9999,  9999,  2,  53,  272, -1047
  5303,  161,  305,  571,  159,  1000,  9999,  9999,  10,  41,  274, -1055
  5384,  158,  305,  571,  156,  1000,  9999,  9999,  8,  41,  234, -1081
  5472,  160,  305,  569,  130,  1000,  9999,  9999,  12,  40,  234, -1055
  5553,  162,  305,  570,  143,  1000,  9999,  9999,  9,  32,  287, -986
  5643,  157,  305,  569,  133,  1000,  9999,  9999,  9,  28,  191, -1113
  5733,  161,  305,  569,  93,  1000,  9999,  9999,  14,  39,  230, -1043
  5816,  161,  305,  569,  122,  1000,  9999,  9999,  6,  45,  325, -1073
  5900,  161,  305,  570,  213,  1000,  9999,  9999,  1,  53,  231, -1030
  5988,  161,  305,  570,  101,  1000,  7999,  9999,  21,  55,  225, -1110
  6069,  161,  305,  568,  184,  1000,  9999,  9999,  0,  35,  214, -1078
  6154,  162,  305,  568,  133,  1000,  7999,  9999,  15,  43,  296, -1120
  6239,  162,  305,  569,  18,  1000,  7999,  9999,  24,  54,  234, -1047
  6327,  160,  305,  570,  158,  1000,  9999,  9999, -8,  44,  265, -1096
  6413,  161,  305,  569,  146,  1000,  9999,  9999,  12,  31,  264, -1067
  6498,  162,  305,  568,  56,  1000,  7999,  9999,  21,  47,  317, -1057
