time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  7774,  200,  305,  437,  379,  3949,  9999,  9999, -10,  692, -211, -1271
  7856,  305,  305,  448,  369,  4031,  6499,  9999,  22,  4588,  3792,  6961
  7936,  305,  305,  473,  351,  3956,  9999,  9999,  0, -817, -1457,  657
  8017,  305,  305,  482,  361,  3888,  9999,  9999,  4, -1404, -1769,  3084
  8098,  305,  305,  483,  386,  3785,  9999,  9999,  4, -2490,  1078,  4457
  8179,  305,  293,  478,  420,  3705,  9999,  9999,  5, -1964, -1979, -2569
  8260,  305,  305,  471,  463,  3786,  9999,  9999,  3, -1722, -1378,  1180
  8342,  305,  305,  457,  537,  3465,  9999,  9999,  3, -3436,  433, -2062
  8423,  305,  305,  439,  461,  3345,  9999,  9999,  2, -3220, -2782, -1707
  8504,  305,  305,  421,  454,  3221,  9999,  9999,  2, -3399,  1281, -1533
  8585,  305,  305,  346,  459,  3104,  9999,  9999, -2, -2148,  2007, -2050
  8666,  305,  305,  265,  470,  2634,  9999,  9999, -9, -3179, -1324, -635
  8747,  305,  305,  256,  479,  2257,  9999,  9999, -8, -677, -1634, -1272
  8828,  305,  305,  260,  474,  2442,  9999,  9999, -7,  3575, -1734, -4241
  8909,  291,  305,  286,  447,  2730,  9999,  9999, -5,  4593,  614, -1063
  8990,  305,  305,  323,  406,  2657,  9999,  9999,  0,  4674, -1593,  1533
  9071,  305,  305,  374,  365,  2590,  9999,  9999,  0,  3344,  3205,  1668
  9152,  305,  305,  423,  320,  2511,  9999,  9999,  3,  2025, -36, -4689
  9234,  305,  305,  448,  246,  2427,  9999,  9999,  6,  416,  1019,  2379
  9315,  305,  305,  447,  243,  2310,  9999,  9999,  3, -2323, -1006, -120
  9396,  305,  305,  436,  256,  2197,  9999,  9999,  3, -3335,  1000, -1565
  9477,  305,  242,  416,  282,  2080,  9999,  9999,  11, -3277, -64, -1463
  9558,  305,  242,  388,  315,  1974,  9999,  9999,  1, -3812,  1606,  2463
  9639,  305,  264,  357,  368,  1866,  9999,  9999, -2, -6205,  318,  445
  9720,  288,  292,  315,  453,  1563,  9999,  9999, -8, -3552,  364, -1309
  9801,  273,  305,  282,  618,  1309,  9999,  9999, -6, -415,  491, -3228
  9882,  270,  305,  261,  774,  1348,  9999,  9999, -5,  3205,  799,  1365
  9963,  305,  305,  252,  826,  1518,  9999,  9999, -4,  3156,  1253,  1158
  10045,  291,  305,  245,  853,  1387,  9999,  9999, -9,  3443,  1752, -2409
  10126,  305,  305,  241,  873,  1299,  9999,  9999, -8,  3008,  1642,  428
  10208,  291,  305,  247,  1887,  1213,  9999,  9999, -2,  3994, -1704, -2376
  10288,  276,  305,  262,  1990,  1134,  9999,  9999, -4,  4857,  94,  1681
  10369,  273,  305,  286,  1706,  1044,  9999,  9999, -3,  2178,  1713, -457
  10450,  274,  305,  307,  1708,  958,  9999,  9999, -1,  2071,  925, -3594
  10531,  291,  305,  329,  1381,  866,  9999,  9999,  0,  1746,  206, -1887
  10612,  305,  305,  353,  1278,  775,  9999,  9999, -3,  1545, -365, -1269
  10693,  305,  305,  368,  1159,  680,  9999,  7999, -15,  1026,  8,  1318
  10775,  305,  305,  392,  1062,  580,  8999,  5499, -27,  4718, -1183, -1138
  10856,  288,  305,  444,  981,  521,  8999,  6999, -34,  9931, -2301, -2722
  10937,  305,  305,  451,  986,  512,  8999,  6999, -35,  16120, -4941,  1583
  11018,  305,  305,  371,  1053,  558,  8999,  6999, -30,  16507, -1057, -2408
  11099,  305,  305,  329,  1099,  542,  8999,  6999, -32,  15925, -130, -492
  11180,  305,  305,  315,  1190,  520,  8999,  6999, -35,  16345, -3059, -2489
  11261,  305,  305,  332,  1542,  524,  8999,  6999, -34,  16895, -5475, -3824
  11344,  305,  305,  368,  1844,  585,  8999,  6999, -26,  17170, -449,  2559
  11426,  305,  305,  341,  2239,  666,  9999,  7999, -16,  17339, -2182, -1673
  11506,  305,  305,  337,  2303,  714,  9999,  9999, -10,  15432, -1656,  1153
  11587,  305,  305,  360,  1638,  800,  9999,  9999,  0,  12529, -1864,  1499
  11668,  305,  305,  394,  602,  861,  9999,  9999, -4,  6758, -1311,  2257
  11749,  305,  190,  554,  535,  850,  6499,  9999,  33,  1366, -2004, -2782
  11831,  305,  305,  364,  3202,  769,  9999,  9999, -3, -4347,  3641, -3799
  11912,  305,  305,  313,  3014,  606,  9999,  6499, -24, -6644,  3036,  6124
  11993,  305,  305,  254,  1942,  477,  8999,  5499, -35,  1437, -2499, -5859
  12074,  305,  305,  207,  1766,  451,  8999,  6999, -35,  9959, -6317, -6540
  12155,  305,  305,  187,  2228,  715,  9999,  9999, -10,  15525,  995, -2468
  12236,  305,  305,  196,  4509,  847,  9999,  9999, -7,  14624, -5864,  107
  12317,  305,  305,  229,  6315,  1143,  9999,  9999, -5,  12727, -2190, -644
  12398,  305,  305,  324,  2904,  1405,  9999,  9999,  2,  6468, -315,  2129
  12479,  305,  305,  407,  1577,  1297,  9999,  9999,  2,  2043,  3523,  1817
  12560,  305,  305,  416,  1504,  1197,  9999,  9999,  4, -556,  319, -1497
  12641,  305,  305,  410,  4021,  1108,  9999,  9999,  9, -1687,  1286, -1335
  12722,  305,  305,  395,  6407,  1020,  9999,  9999,  4, -2417,  2561, -679
  12804,  305,  305,  327,  5422,  924,  9999,  9999,  0, -5531,  3314,  2138
  12885,  305,  305,  245,  5937,  776,  9999,  9999, -3, -4575,  957,  2411
  12966,  305,  305,  200,  5588,  604,  9999,  6499, -24, -2314,  389, -346
  13047,  289,  305,  159,  878,  514,  8999,  5499, -35,  3145,  3306, -4620
  13128,  235,  305,  134,  656,  544,  8999,  6999, -32,  15127, -6998, -7460
  13209,  184,  305,  151,  2912,  435,  8999,  6999, -35,  15993, -3969, -2820
  13290,  185,  305,  207,  4519,  355,  7999,  5999, -35,  17549, -4039, -2065
  13371,  225,  305,  309,  1820,  301,  7999,  5999, -35,  17562, -2888, -1621
  13452,  305,  305,  288,  1085,  282,  7999,  5999, -35,  17061, -3560, -2242
  13533,  305,  305,  211,  981,  274,  7999,  5999, -35,  17218, -397, -825
  13614,  305,  305,  170,  821,  2755,  9999,  7999, -17,  16449, -5486, -2883
  13695,  305,  305,  153,  684,  3009,  9999,  7999, -18,  17677, -2447, -3001
  13776,  305,  305,  296,  589,  948,  9999,  9999,  6,  14867, -438, -1126
  13858,  305,  305,  1042,  514,  628,  6499,  9999,  21,  11719, -5141, -1142
  13939,  305,  305,  1673,  448,  575,  5499,  8999,  28, -150,  1543, -226
  14020,  305,  305,  1656,  384,  463,  6999,  8999,  35, -12859,  6512, -2108
  14101,  305,  305,  1407,  345,  558,  6999,  8999,  30, -15696,  3963, -1205
  14182,  305,  305,  1181,  333,  857,  7999,  9999,  15, -16332,  2625, -1922
  14263,  305,  305,  715,  324,  2487,  9999,  9999,  13, -16202,  3707, -1012
  14345,  305,  305,  444,  253,  1860,  9999,  9999,  4, -13155,  1526,  723
  14425,  305,  305,  334,  326,  1470,  9999,  9999, -6, -11627,  5113,  1349
  14506,  305,  305,  284,  420,  1194,  9999,  9999, -7, -6159, -69, -3584
  14587,  305,  305,  273,  503,  1073,  9999,  9999, -6,  611,  2361,  369
  14668,  198,  305,  305,  523,  1021,  9999,  9999, -13,  2216,  2694, -1976
  14749,  257,  305,  356,  530,  977,  9999,  9999,  13,  3927, -2327, -991
  14830,  305,  305,  435,  578,  987,  9999,  9999,  7,  7125,  1977,  2575
  14912,  305,  305,  468,  590,  943,  9999,  9999,  3, -1530,  2207, -1207
  14992,  305,  305,  414,  748,  789,  9999,  9999, -1, -4543, -2978, -1449
  15074,  305,  305,  350,  1333,  616,  9999,  6499, -23, -4018,  1064, -1335
  15155,  305,  305,  288,  1952,  506,  6499,  2999, -35,  319, -8346, -3843
  15236,  305,  305,  238,  1790,  484,  8999,  6999, -35,  10664, -7809, -3435
  15317,  305,  305,  218,  1887,  606,  9999,  7999, -24,  14634,  1656, -1033
  15398,  305,  305,  223,  942,  670,  9999,  7999, -16,  16458,  156, -1515
  15479,  305,  305,  256,  587,  1223,  9999,  9999, -7,  15760, -1381,  173
  15560,  305,  305,  322,  446,  1193,  9999,  9999,  0,  13181, -29, -109
  15641,  305,  289,  401,  367,  1156,  9999,  9999,  5,  6738,  1901,  2019
  15722,  305,  286,  422,  317,  1091,  9999,  9999,  4,  585, -206,  428
  15803,  305,  288,  370,  287,  997,  9999,  9999,  0, -2664,  2758,  1976
  15884,  305,  286,  384,  269,  868,  9999,  9999,  1, -3420, -691, -1914
  15965,  305,  305,  387,  523,  753,  9999,  9999, -5, -1691,  1643,  1668
  16046,  305,  305,  395,  1101,  649,  9999,  6499, -18, -1463, -332, -1538
  16127,  305,  305,  407,  1023,  556,  8999,  5499, -30,  5308, -5191, -10682
