time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  3349,  99,  305,  465,  375,  4304,  9999,  7999, -23, -1463,  902,  656
  3430,  99,  305,  465,  375,  4318,  9999,  9999,  12,  2076,  649,  5057
  3511,  96,  305,  469,  365,  4250,  9999,  9999,  4,  3681, -1704,  3495
  3592,  102,  305,  479,  339,  4173,  9999,  9999,  5,  748,  4743,  2232
  3673,  305,  305,  475,  324,  4093,  7999,  9999,  33, -1785,  148, -76
  3754,  305,  294,  452,  319,  4029,  9999,  9999, -4, -5512,  4211,  1735
  3835,  305,  287,  408,  337,  3426,  9999,  9999,  2, -8555,  1189,  3041
  3916,  305,  289,  346,  395,  2274,  9999,  9999, -2, -10536,  1115,  1865
  3997,  305,  287,  286,  468,  1193,  9999,  9999, -5, -3897,  879,  1636
  4078,  305,  289,  241,  552,  1031,  9999,  9999, -10, -74, -63,  424
  4159,  305,  287,  204,  596,  992,  9999,  9999, -11,  985, -1582, -1747
  4240,  305,  305,  175,  604,  1072,  9999,  7999, -19,  4937, -717, -2366
  4321,  273,  305,  155,  571,  1788,  9999,  7999, -18,  8833, -6264, -5348
  4402,  207,  305,  213,  499,  2630,  9999,  9999, -9,  12173, -2878, -1173
  4483,  190,  305,  289,  411,  3268,  9999,  9999,  0,  10920, -3007,  632
  4564,  216,  286,  373,  335,  3083,  9999,  9999,  9,  6520, -1197,  1833
  4645,  305,  289,  455,  284,  2965,  7999,  9999,  15,  761,  2178,  1020
  4726,  305,  279,  494,  255,  2885,  9999,  9999,  5, -5728,  4934, -5344
  4807,  305,  298,  459,  258,  2828,  9999,  9999,  2, -8561,  3677, -1794
  4888,  305,  305,  406,  316,  2732,  9999,  9999, -1, -5219, -311, -3939
  4969,  305,  279,  374,  363,  2645,  9999,  9999,  4, -2957,  286, -57
  5050,  305,  264,  356,  389,  2557,  9999,  9999,  2, -1088, -135, -291
  5131,  305,  275,  359,  410,  2460,  9999,  9999, -1, -1506,  403,  3294
  5212,  305,  275,  363,  441,  2247,  9999,  9999,  1, -2052,  473, -1420
  5293,  305,  276,  362,  471,  2047,  9999,  9999,  1, -463,  512, -2664
  5374,  305,  286,  365,  495,  1913,  9999,  9999,  0, -395,  1033, -2856
  5455,  305,  277,  367,  547,  1790,  9999,  9999,  2, -735,  3024,  2708
  5536,  305,  305,  372,  549,  1659,  9999,  9999, -3, -623,  2216,  852
  5617,  305,  305,  373,  577,  1539,  9999,  9999,  1, -181,  1534, -2010
  5698,  305,  305,  361,  604,  1443,  9999,  9999,  0, -449,  1070,  770
  5779,  305,  305,  315,  632,  1351,  9999,  9999, -4, -231,  996, -457
  5860,  305,  305,  291,  657,  1258,  9999,  9999, -5, -72, -157,  1298
  5941,  305,  305,  268,  682,  1193,  9999,  9999, -6,  1546, -1396, -987
  6022,  305,  305,  251,  836,  1197,  9999,  9999, -7,  2775,  738, -969
  6103,  305,  305,  238,  1805,  1270,  9999,  9999, -3,  2775,  713, -772
  6184,  305,  305,  231,  1738,  1218,  9999,  9999, -8,  3552, -2145, -2605
  6265,  290,  305,  229,  1668,  1117,  9999,  9999, -8,  3258, -2718, -3182
  6346,  305,  305,  234,  1597,  1028,  9999,  9999, -7,  3708, -1264, -1252
  6427,  291,  305,  252,  1526,  927,  9999,  9999, -6,  4584, -1204, -2223
  6508,  291,  305,  271,  1477,  812,  9999,  9999, -4,  4703,  2868,  869
  6589,  305,  305,  290,  1428,  719,  9999,  9999, -10,  4867, -499, -3001
  6670,  305,  305,  319,  1378,  628,  9999,  7999, -21,  4526, -1156, -922
  6751,  305,  305,  352,  1310,  541,  9999,  7999, -32,  7139,  2681, -1716
  6832,  305,  305,  435,  1325,  481,  9999,  7999, -35,  12040, -750, -4446
  6913,  305,  305,  443,  1262,  438,  9999,  7999, -35,  14974, -1430, -3276
  6994,  305,  305,  334,  1177,  414,  9999,  7999, -35,  14767, -1236, -2448
  7075,  305,  305,  263,  1115,  372,  8999,  6999, -35,  14418, -2066,  1156
  7156,  305,  305,  218,  1080,  417,  9999,  7999, -35,  15261, -2800, -4564
  7237,  305,  305,  198,  1071,  522,  9999,  7999, -34,  15755, -2177,  1247
  7318,  305,  305,  191,  1066,  799,  9999,  9999,  0,  15302, -2110, -2293
  7399,  305,  305,  190,  1079,  771,  9999,  9999, -3,  11810,  740,  219
  7480,  305,  305,  231,  1109,  678,  9999,  7999, -15,  10509, -3807,  1431
  7561,  274,  305,  282,  1123,  596,  9999,  7999, -25,  6080, -1440, -25
  7642,  305,  305,  332,  1084,  518,  9999,  7999, -35,  7639, -2781, -3811
  7727,  305,  305,  413,  1113,  456,  9999,  7999, -35,  13995, -1431, -1928
  7808,  305,  305,  440,  1437,  417,  9999,  7999, -35,  13885, -3368, -4110
  7889,  305,  305,  308,  2563,  393,  8999,  6999, -35,  14181, -2413, -3355
  7970,  305,  305,  242,  4777,  377,  8999,  6999, -35,  15727, -3330, -3166
  8051,  305,  305,  204,  3978,  391,  8999,  6999, -35,  14409, -1464, -3105
  8132,  305,  305,  189,  2386,  455,  9999,  7999, -35,  14075, -1951,  1531
  8213,  305,  305,  189,  1306,  609,  9999,  7999, -23,  15343,  1081,  2317
  8294,  305,  305,  183,  964,  1188,  9999,  9999, -14,  14887, -1480, -1070
  8375,  305,  305,  221,  733,  3363,  9999,  9999, -9,  13222,  616,  3948
  8456,  305,  305,  277,  600,  4073,  9999,  9999, -5,  10231,  643,  2511
  8537,  305,  305,  345,  508,  3484,  9999,  9999,  0,  6843, -1743, -294
  8618,  305,  305,  420,  458,  2342,  9999,  9999,  3,  3565,  3570,  360
  8699,  305,  305,  535,  415,  2076,  9999,  9999,  6,  167,  4766, -209
  8780,  305,  305,  585,  388,  1999,  9999,  9999,  7, -760, -242, -3095
  8861,  305,  305,  605,  602,  2028,  9999,  9999,  8, -2346, -552,  1010
  8942,  305,  305,  603,  365,  2173,  9999,  9999,  7, -3466,  1163,  891
  9023,  305,  305,  586,  364,  3247,  9999,  9999,  7, -4141,  311,  358
  9104,  305,  298,  562,  371,  3311,  9999,  9999,  7, -4689, -165, -315
  9185,  305,  305,  534,  388,  3243,  9999,  9999,  6, -4600,  3548,  846
  9266,  305,  305,  502,  410,  3047,  9999,  9999,  5, -5028,  1566, -2068
  9347,  305,  298,  470,  445,  2914,  9999,  9999,  4, -5354,  1280, -2923
  9428,  305,  305,  436,  498,  2932,  9999,  9999,  2, -3943,  3027, -1759
  9509,  305,  305,  403,  567,  2393,  9999,  9999,  1, -3913,  750,  351
  9590,  305,  305,  354,  619,  1991,  9999,  9999, -2, -2525, -928, -517
  9671,  305,  305,  325,  665,  1665,  9999,  9999, -2, -2103,  404, -768
  9752,  305,  305,  298,  712,  1438,  9999,  9999, -4, -473,  730, -85
  9833,  305,  305,  276,  747,  1354,  9999,  9999, -6,  265, -1147, -2626
  9914,  305,  305,  257,  755,  1367,  9999,  9999, -7,  1144, -317, -1893
