time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  3389,  305,  305,  499,  416,  3731,  9999,  9999,  7,  200,  145, -1015
  3470,  305,  305,  498,  415,  3734,  9999,  9999,  5, -1609,  415, -1651
  3551,  305,  305,  497,  415,  3724,  9999,  9999,  5, -222, -474, -1189
  3632,  305,  305,  501,  415,  3721,  9999,  9999,  5, -35,  96, -1026
  3713,  305,  305,  499,  415,  3719,  9999,  9999,  5,  1,  100, -1030
  3794,  305,  305,  497,  415,  3723,  9999,  9999,  5,  16,  187, -954
  3875,  305,  305,  499,  413,  3724,  9999,  9999,  5,  18,  203, -927
  3956,  305,  305,  499,  417,  3730,  9999,  9999,  5,  49,  261, -240
  4037,  305,  305,  497,  417,  3732,  9999,  9999,  5,  94,  326, -1155
  4118,  305,  305,  501,  415,  3722,  9999,  9999,  5,  25,  165, -832
  4199,  305,  305,  499,  415,  3722,  9999,  9999,  5,  29,  254, -797
  4280,  305,  305,  501,  415,  3737,  9999,  9999,  5, -7,  241, -903
  4361,  305,  305,  501,  415,  3724,  9999,  9999,  5,  9,  213, -936
  4442,  305,  305,  501,  415,  3728,  9999,  9999,  5,  20,  183, -943
  4523,  305,  305,  498,  414,  3720,  9999,  9999,  5,  21,  157, -901
  4604,  305,  305,  499,  416,  3736,  9999,  9999,  5,  10,  204, -929
  4685,  305,  305,  498,  415,  3729,  9999,  9999,  5,  8,  206, -939
  4766,  305,  305,  502,  415,  3722,  9999,  9999,  5,  10,  200, -916
  4847,  305,  305,  496,  414,  3725,  9999,  9999,  5,  17,  220, -930
  4928,  305,  305,  498,  416,  3725,  9999,  9999,  5,  7,  178, -901
  5009,  305,  305,  499,  415,  3726,  9999,  9999,  5,  6,  204, -907
  5090,  305,  305,  497,  417,  3727,  9999,  9999,  5,  20,  190, -910
  5171,  305,  305,  498,  414,  3772,  9999,  9999,  5,  3002,  2495,  6356
  5252,  305,  305,  507,  404,  3763,  9999,  9999,  5,  124, -377,  3264
  5333,  305,  305,  500,  396,  3675,  9999,  9999,  5, -1348,  531,  2479
  5414,  305,  305,  484,  393,  3563,  9999,  9999,  4, -1647,  1230,  720
  5495,  273,  305,  469,  388,  3501,  9999,  9999,  0, -1366,  1582,  1614
  5576,  274,  305,  452,  386,  3309,  9999,  9999,  4, -1831, -2898, -1178
  5657,  305,  305,  431,  385,  3234,  9999,  9999,  5,  171,  906, -2569
  5738,  274,  305,  417,  402,  3127,  9999,  9999, -3, -131,  3271,  3432
  5819,  258,  305,  400,  420,  3027,  9999,  9999,  0, -943, -885,  26
  5900,  251,  305,  384,  439,  2893,  9999,  9999,  0,  1119, -1699, -3658
  5981,  256,  305,  368,  453,  2856,  9999,  9999,  0,  371, -3011, -1302
  6062,  266,  305,  359,  456,  2764,  9999,  9999,  1,  923,  1515,  1277
  6143,  264,  282,  353,  456,  2652,  9999,  9999,  3,  1826, -159, -3405
  6224,  305,  305,  346,  455,  2595,  9999,  9999, -1,  1471, -766, -1769
  6305,  305,  305,  344,  449,  2515,  9999,  9999, -1,  896,  95, -2851
  6386,  305,  281,  338,  450,  2438,  9999,  9999,  2, -243,  406,  126
  6467,  282,  283,  333,  423,  2380,  9999,  9999, -4,  1590, -819, -885
  6548,  276,  281,  335,  416,  2323,  9999,  9999,  1,  1276, -1103, -11
  6629,  273,  305,  336,  407,  2265,  9999,  9999, -5,  2173, -1291, -2999
  6710,  268,  281,  341,  394,  2223,  9999,  9999,  4,  1511,  1634,  827
  6791,  257,  281,  349,  380,  2167,  9999,  9999,  0,  2480, -1140, -2541
  6872,  266,  283,  360,  364,  2098,  9999,  9999,  2, -38,  313,  4107
  6953,  273,  283,  359,  356,  1994,  9999,  9999,  1, -1149, -339, -2819
  7034,  266,  273,  357,  354,  1903,  9999,  9999,  2,  362,  1755,  692
  7115,  261,  283,  358,  346,  1817,  9999,  9999,  0, -357, -424, -1105
  7196,  264,  281,  356,  359,  1723,  9999,  9999,  1,  229,  1813, -2060
  7277,  272,  305,  356,  421,  1643,  9999,  9999, -2,  440,  2218, -2187
  7358,  259,  305,  347,  465,  1554,  9999,  9999, -1,  72,  577, -488
  7439,  268,  305,  350,  502,  1456,  9999,  9999,  1,  793, -3222, -1794
  7520,  252,  305,  359,  526,  1386,  9999,  9999, -2,  302,  498, -1981
  7601,  267,  281,  368,  548,  1310,  9999,  9999,  9,  802,  823,  722
  7682,  259,  276,  381,  579,  1240,  9999,  9999,  1,  1724, -1021,  700
  7763,  257,  305,  389,  818,  1143,  9999,  9999, -1, -2588,  334, -1821
  7844,  260,  305,  378,  1597,  1021,  9999,  9999,  8, -1449,  1559,  932
  7925,  257,  305,  371,  1585,  920,  9999,  9999,  1,  367, -235, -1625
  8005,  266,  305,  372,  1499,  802,  9999,  9999,  3, -1944,  2129,  1209
  8086,  265,  305,  351,  1434,  687,  9999,  9999, -14, -1501, -737, -3748
  8167,  274,  305,  336,  1373,  580,  8999,  5499, -27, -1,  328, -1103
  8248,  277,  305,  341,  1318,  529,  8999,  6999, -33,  11117, -7816, -5040
  8329,  266,  305,  316,  1267,  583,  8999,  6999, -27,  14135, -1497,  1551
  8410,  265,  305,  279,  1240,  667,  9999,  7999, -16,  15633, -4048, -2347
  8491,  275,  305,  285,  1204,  655,  9999,  7999, -18,  15063,  770,  2026
  8572,  275,  305,  316,  1155,  666,  9999,  7999, -16,  14332, -2729,  3
  8653,  305,  305,  374,  1169,  707,  9999,  9999, -11,  13635, -3807, -138
  8734,  305,  305,  425,  1220,  784,  9999,  9999, -2,  11737,  2365, -847
  8815,  305,  305,  395,  1177,  786,  9999,  9999, -1,  9199, -1789, -830
  8896,  305,  305,  367,  1106,  707,  9999,  9999, -11,  4309,  1663,  2392
  8977,  305,  305,  336,  1039,  626,  9999,  6499, -21,  2572, -50, -71
  9058,  282,  305,  311,  963,  552,  8999,  6999, -31,  10837, -4173, -5366
  9139,  283,  305,  315,  946,  512,  8999,  6999, -35,  13986, -4660, -2771
  9220,  305,  305,  363,  1000,  445,  8999,  6999, -35,  15836, -4480, -3093
  9301,  282,  305,  352,  1158,  412,  8999,  6999, -35,  14280, -2366, -686
  9382,  273,  305,  316,  1808,  425,  8999,  6999, -35,  13798, -2320, -1410
  9463,  305,  305,  302,  3223,  475,  8999,  6999, -35,  13452, -2932, -2961
  9544,  305,  305,  224,  4925,  578,  8999,  6999, -27,  14268, -1342, -3450
  9625,  305,  305,  213,  5025,  499,  8999,  6999, -35,  15217,  999,  928
  9706,  305,  305,  238,  1388,  593,  8999,  6999, -25,  15074, -3456, -3871
  9787,  305,  305,  295,  820,  797,  9999,  9999,  0,  15821, -153,  1223
  9868,  305,  305,  324,  582,  1462,  9999,  9999, -4,  15944, -1919,  2595
