time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  5153,  305,  305,  464,  402,  3888,  9999,  9999,  4,  1828,  1041, -996
  5234,  305,  305,  468,  388,  3332,  9999,  9999,  4,  8969, -6805,  10789
  5315,  305,  282,  482,  342,  2296,  9999,  9999,  8,  2688,  3643,  6056
  5396,  305,  282,  475,  330,  2255,  9999,  9999,  4,  832,  3636,  5925
  5477,  305,  281,  448,  333,  2178,  9999,  9999,  4, -2413,  1815,  2634
  5558,  305,  305,  429,  348,  2439,  9999,  9999, -1, -2579,  2757, -895
  5638,  305,  305,  430,  344,  2971,  9999,  9999,  2, -1732,  197,  2822
  5719,  305,  281,  436,  343,  2930,  9999,  9999,  6, -453,  1025, -1066
  5800,  305,  305,  449,  336,  2876,  9999,  9999,  0, -765,  2022,  2737
  5881,  275,  305,  458,  329,  2844,  9999,  9999,  0, -2305,  2299, -3439
  5962,  272,  305,  457,  330,  2871,  9999,  9999,  5, -1463,  1385,  904
  6043,  275,  273,  459,  332,  2830,  9999,  9999,  9, -772,  1116, -1635
  6124,  273,  273,  461,  330,  2896,  9999,  9999,  4, -1722, -1479,  909
  6204,  305,  274,  450,  340,  2967,  9999,  9999,  7, -3874, -1291, -3083
  6285,  305,  272,  429,  365,  3034,  9999,  9999,  3, -3574,  1100, -3206
  6366,  305,  274,  403,  383,  2947,  9999,  9999,  3, -2720,  2299, -4141
  6448,  305,  274,  336,  398,  2870,  9999,  9999, -1, -2275,  2194, -2180
  6528,  305,  274,  311,  422,  2800,  9999,  9999, -2, -1509,  684,  1623
  6609,  305,  272,  296,  443,  2711,  9999,  9999, -3,  162, -1378,  256
  6690,  305,  276,  284,  452,  2624,  9999,  9999, -5,  1064,  705, -1770
  6770,  305,  305,  280,  451,  2512,  9999,  9999, -9,  1801, -2977, -1282
  6851,  275,  283,  282,  443,  2414,  9999,  9999, -1,  2929,  541, -1263
  6932,  277,  281,  294,  436,  2308,  9999,  9999, -2,  5643,  680,  2267
  7013,  274,  281,  319,  445,  2195,  9999,  9999, -1,  3043, -137, -125
  7094,  281,  281,  353,  428,  2020,  9999,  9999,  1,  2073, -334, -874
  7175,  282,  282,  365,  413,  1853,  9999,  9999,  1,  2818, -2640,  662
  7256,  305,  281,  402,  360,  1695,  9999,  9999,  5,  1505,  304, -3695
  7336,  305,  282,  445,  270,  1556,  9999,  9999,  5,  772, -2522,  391
  7417,  305,  272,  479,  255,  1468,  9999,  9999,  6, -1584,  2316, -811
  7498,  305,  282,  505,  247,  1427,  9999,  9999,  6, -656,  449, -3154
  7579,  305,  282,  514,  243,  1360,  9999,  9999,  7, -1783, -514,  183
  7660,  275,  249,  523,  241,  1310,  9999,  9999,  8, -1855,  3492,  2145
  7741,  274,  239,  552,  245,  1267,  9999,  9999,  9, -2886,  4822, -2208
  7822,  305,  240,  1091,  258,  1248,  6499,  9999,  18, -3925,  2115, -791
  7902,  305,  248,  1577,  284,  1217,  7999,  9999,  16, -9231,  3484, -3630
  7983,  305,  258,  1557,  395,  1167,  7999,  9999,  17, -12683,  4585, -841
  8065,  305,  272,  1523,  427,  1150,  7999,  9999,  16, -12104,  449, -1226
  8145,  305,  266,  1074,  479,  1152,  7999,  9999,  17, -11793,  1624, -3106
  8226,  269,  305,  310,  639,  1196,  9999,  9999, -12, -11535,  3499, -2606
  8306,  274,  305,  242,  762,  1134,  9999,  9999, -6, -9325,  2016,  511
  8387,  305,  305,  1025,  807,  1056,  6499,  9999,  22, -4331,  301, -4316
  8468,  305,  305,  1171,  743,  968,  9999,  9999,  13,  492,  3197, -97
  8549,  305,  305,  1113,  684,  885,  9999,  9999,  14, -3007,  2643, -2118
  8630,  305,  305,  1053,  634,  804,  9999,  9999,  13, -5760,  3415, -1992
  8711,  305,  305,  995,  594,  727,  9999,  9999,  9, -7329,  3732,  422
  8791,  305,  305,  935,  563,  649,  7999,  9999,  18, -6696,  1796, -701
  8872,  305,  305,  878,  544,  593,  6999,  8999,  25, -8672,  2081, -1867
  8953,  305,  305,  832,  512,  552,  6999,  8999,  31, -11896,  1168, -621
  9034,  305,  305,  820,  419,  591,  6999,  8999,  26, -14125,  3855, -2163
  9115,  305,  305,  855,  357,  505,  6999,  8999,  35, -16080,  3713, -3303
  9196,  305,  305,  975,  315,  468,  6999,  8999,  35, -15485,  4162, -3418
  9276,  305,  305,  1290,  305,  428,  6999,  8999,  35, -15933,  2084, -1813
  9357,  305,  283,  2315,  341,  410,  6999,  8999,  35, -16595,  3112, -2042
  9438,  305,  281,  3974,  276,  423,  6999,  8999,  35, -16383,  3583,  747
  9519,  305,  282,  3642,  228,  469,  6999,  8999,  35, -15079,  3486, -3156
  9600,  305,  264,  1360,  204,  576,  6999,  8999,  28, -15986,  4789, -359
  9681,  305,  249,  809,  203,  900,  7999,  9999,  17, -16004,  2603, -1007
  9761,  305,  255,  644,  221,  1818,  9999,  9999,  9, -15985,  3625, -709
  9842,  305,  264,  520,  274,  3764,  9999,  9999,  6, -13319,  1538,  1799
  9923,  305,  255,  437,  346,  3795,  9999,  9999,  5, -7138,  624, -246
  10004,  305,  256,  378,  421,  3675,  9999,  9999,  1, -4967, -927, -1848
  10085,  305,  250,  326,  478,  2621,  9999,  9999,  0, -3341,  2959,  1697
  10166,  305,  257,  285,  535,  1704,  9999,  9999, -5, -1600,  673, -2085
  10246,  305,  255,  214,  592,  1476,  9999,  9999, -12, -41,  609,  2259
  10327,  305,  305,  186,  620,  1600,  9999,  6499, -22,  2941,  679, -2872
  10408,  305,  305,  185,  602,  3218,  9999,  9999, -12,  10718, -1237, -6970
  10489,  209,  282,  222,  519,  3174,  9999,  9999, -8,  12224, -1467, -1278
  10570,  212,  274,  295,  436,  2778,  9999,  9999,  3,  9604, -3008,  182
  10651,  252,  266,  391,  375,  2224,  9999,  9999,  11,  6238, -324,  219
  10732,  283,  265,  508,  328,  1934,  9999,  9999,  9,  1395, -1034,  1871
  10812,  305,  256,  552,  304,  2001,  9999,  9999,  11, -4909,  4348, -2226
  10893,  305,  242,  540,  300,  2123,  9999,  9999,  10, -3853,  1664, -2161
  10974,  283,  247,  516,  307,  2261,  9999,  9999,  3, -5199,  361, -2975
  11055,  283,  247,  487,  322,  2348,  9999,  9999,  7, -5162,  1150,  97
  11136,  282,  255,  453,  351,  2446,  9999,  9999,  5, -4984,  763, -3482
  11217,  305,  255,  423,  382,  2368,  9999,  9999,  7, -3935,  358, -4160
  11297,  305,  255,  393,  417,  2279,  9999,  9999,  2, -3146,  311, -2154
  11378,  305,  264,  362,  461,  2192,  9999,  9999,  0, -4197, -228,  2203
  11459,  305,  264,  330,  513,  2079,  9999,  9999,  0, -2400,  90,  1834
  11540,  305,  272,  311,  550,  1979,  9999,  9999, -2,  74,  906, -1906
  11621,  305,  272,  296,  577,  1890,  9999,  9999, -3,  513,  383, -4099
  11702,  305,  272,  277,  594,  1826,  9999,  9999, -4,  1666, -1563, -867
  11783,  305,  305,  284,  604,  1740,  9999,  9999, -10,  1689,  1023,  1447
  11863,  305,  272,  304,  599,  1631,  9999,  9999,  5,  2635,  217, -1445
  11944,  272,  281,  335,  588,  1537,  9999,  9999, -4,  4731, -2203, -3422
  12025,  280,  281,  382,  562,  1448,  9999,  9999,  4,  1702,  1280,  724
  12106,  305,  281,  421,  542,  1359,  9999,  9999,  6,  1251, -1134,  463
  12187,  305,  274,  451,  527,  1272,  9999,  9999,  5, -242,  2304, -1031
  12268,  305,  273,  1059,  519,  1185,  9999,  9999,  13, -1374, -254, -2006
  12348,  305,  305,  1413,  495,  1101,  9999,  9999,  10, -2532,  681, -1822
  12429,  305,  305,  1351,  487,  998,  6499,  9999,  16, -5088,  3179,  496
  12510,  305,  305,  1294,  522,  913,  9999,  9999,  14, -10258,  5859, -4647
  12591,  305,  305,  1255,  564,  801,  7999,  9999,  15, -7352,  1686, -1164
  12672,  305,  305,  1220,  560,  741,  9999,  9999,  7, -9793,  1976, -663
  12753,  305,  305,  1197,  590,  695,  9999,  9999,  13, -7504,  4144, -1604
  12833,  305,  305,  1167,  637,  639,  6499,  9999,  20, -6076,  1954,  21
  12914,  305,  305,  1129,  558,  585,  6999,  8999,  26, -11553,  5615, -4733
  12995,  305,  305,  1154,  469,  582,  6999,  8999,  27, -12591,  308, -3203
  13076,  305,  305,  1135,  373,  630,  7999,  9999,  21, -14903,  2713, -3240
  13157,  305,  305,  1135,  332,  632,  7999,  9999,  21, -15803,  4920, -884
  13238,  305,  305,  1175,  324,  615,  7999,  9999,  23, -15906,  3557, -1751
  13319,  305,  281,  1267,  340,  618,  7999,  9999,  22, -15552,  3847, -2223
  13399,  305,  274,  1372,  383,  659,  7999,  9999,  17, -14987,  4755,  1153
  13480,  305,  273,  1553,  374,  720,  9999,  9999,  10, -14989,  4210, -1928
  13561,  305,  281,  1884,  349,  675,  7999,  9999,  15, -12001,  2618, -242
  13642,  305,  305,  2357,  339,  652,  7999,  9999,  18, -11145,  798, -2079
  13723,  305,  305,  2990,  343,  642,  7999,  9999,  19, -9342,  5361, -1011
  13803,  305,  281,  4088,  362,  648,  7999,  9999,  19, -11067,  2758, -1503
  13884,  305,  305,  4178,  361,  708,  9999,  9999,  11, -11561,  5882, -744
  13965,  305,  283,  1684,  323,  758,  9999,  9999,  5, -9535,  3284,  375
  14046,  305,  305,  1090,  300,  813,  9999,  9999,  12, -8916,  1459,  1998
  14127,  305,  281,  905,  282,  822,  6499,  9999,  16, -4364,  1149, -1733
  14208,  305,  274,  862,  264,  876,  9999,  9999,  13, -10321,  3911, -2889
  14288,  305,  305,  713,  270,  1104,  9999,  9999,  8, -7376,  2404,  2628
  14369,  305,  305,  620,  288,  1312,  9999,  9999,  8, -7509,  4414, -3113
  14450,  305,  305,  553,  292,  1927,  9999,  9999,  7, -6317,  734, -1058
  14531,  305,  281,  509,  301,  2255,  9999,  9999,  8, -5308, -1083,  2353
  14612,  273,  305,  475,  313,  2864,  9999,  9999, -4, -5689,  2335, -3486
  14693,  273,  305,  443,  335,  3186,  9999,  9999,  4, -4500, -1568, -643
