time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering
  12588,  84,  305,  433,  1568,  4317,  9000,  7000, -17
  12669,  84,  305,  432,  1573,  5295,  9000,  9000,  13
  12750,  118,  305,  453,  1550,  4574,  9000,  9000,  10
  12831,  110,  305,  486,  1252,  4297,  9000,  9000,  3
  12912,  204,  82,  509,  244,  4279,  7000,  9000,  30
  12993,  208,  82,  488,  198,  4042,  9000,  9000,  4
  13073,  218,  82,  449,  228,  4072,  7000,  9000,  16
  13154,  212,  82,  399,  282,  2786,  9, -13
  101802,  124,  305,  109,  712,  1628,  9000,  9000, -12
  101883,  124,  305,  141,  636,  1655,  9000,  9000, -7
  101964,  130,  82,  187,  553,  1596,  7000,  9000,  30
  102045,  144,  82,  254,  490,  1549,  9000,  9000,  2
  102125,  160,  82,  309,  448,  1483,  9000,  9000,  11
  102206,  172,  82,  334,  421,  1410,  9000,  9000,  12
  102287,  182,  82,  337,  405,  1323,  9000,  9000,  12
  102368,  182,  82,  308,  408,  1233,  9000,  9000,  9
  102449,  182,  82,  263,  433,  1156,  9000,  9000,  6
  102530,  176,  82,  217,  479,  1085,  9000,  9000,  4
  102611,  168,  305,  174,  1130,  1019,  9000,  7000, -30
  102692,  158,  305,  139,  1265,  792,  9000,  9000, -3
  102772,  148,  305,  120,  1192,  854,  9000,  9000, -11
  102853,  140,  305,  122,  1147,  787,  9000,  9000, -11
  102934,  134,  305,  128,  1105,  706,  9000,  9000, -9
  103015,  132,  305,  145,  1076,  618,  9000,  9000, -7
  103096,  138,  305,  182,  1063,  551,  7000,  7000, -3
  103177,  146,  305,  238,  1068,  497,  7000,  7000, -6
  103258,  158,  305,  295,  1053,  432,  7000,  7000, -10
  103339,  174,  305,  350,  1018,  386,  7000,  7000, -13
  103420,  192,  305,  376,  991,  342,  7000,  5000, -16
  103500,  200,  305,  303,  1035,  310,  7000,  5000, -18
  103581,  204,  305,  239,  1049,  297,  7000,  5000, -18
  103662,  210,  305,  194,  1024,  306,  7000,  5000, -18
