time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  3540,  305,  257,  439,  342,  3410,  9999,  9999,  12, -234,  555, -908
  3622,  305,  259,  440,  340,  3369,  9999,  9999,  3,  1293, -4253,  8132
  3702,  241,  256,  450,  332,  3733,  9999,  9999, -2, -1927,  757,  7588
  3783,  110,  257,  443,  339,  3455,  9999,  9999, -9, -3080, -2366,  2584
  3864,  98,  257,  428,  352,  3466,  9999,  9999,  8, -106, -1561, -314
  3945,  115,  268,  435,  348,  3362,  9999,  9999,  6,  3311, -2386,  504
  4026,  305,  249,  461,  326,  3271,  7999,  9999,  35, -1179,  1622,  2866
  4107,  305,  259,  469,  322,  3424,  9999,  9999, -4, -6807,  4059,  1414
  4189,  305,  264,  429,  354,  3412,  9999,  9999,  4, -8700,  3751, -581
  4269,  305,  265,  373,  434,  3146,  9999,  9999,  1, -9833, -490, -918
  4350,  305,  265,  324,  521,  1743,  9999,  9999, -2, -3907, -812, -1557
  4431,  305,  265,  295,  592,  1394,  9999,  9999, -2, -2027,  358, -2505
  4512,  305,  305,  271,  650,  1263,  9999,  9999, -13, -134,  2563, -2197
  4593,  305,  305,  250,  689,  1212,  9999,  9999, -6,  1207,  492, -1019
  4674,  305,  305,  240,  704,  1340,  9999,  9999, -8,  5262, -564, -900
  4755,  305,  305,  244,  668,  2030,  9999,  9999, -8,  5576,  1315, -1369
  4836,  305,  305,  255,  622,  2565,  9999,  9999, -7,  4581, -624, -1066
  4917,  305,  305,  269,  584,  2462,  9999,  9999, -6,  4377, -1935, -1541
  4998,  305,  305,  273,  547,  2353,  9999,  9999, -6,  4858,  63, -2657
  5078,  305,  305,  301,  511,  2261,  9999,  9999, -4,  4663, -1257, -483
  5159,  305,  305,  339,  477,  2035,  9999,  9999, -2,  4649, -2900, -408
  5240,  305,  305,  386,  440,  1840,  9999,  9999,  1,  2878,  28, -951
  5321,  305,  285,  427,  410,  1692,  9999,  9999,  5,  1984,  1800, -2403
  5402,  305,  286,  467,  388,  1585,  9999,  9999,  4,  439,  196, -933
  5483,  305,  286,  490,  372,  1511,  9999,  9999,  5, -1908, -6, -1983
  5564,  305,  285,  499,  367,  1476,  9999,  9999,  5, -2309,  1615, -2505
  5645,  305,  267,  500,  367,  1432,  9999,  9999,  9, -2203,  417, -239
  5726,  305,  276,  497,  368,  1392,  9999,  9999,  4, -2870,  904,  722
  5807,  305,  266,  488,  376,  1383,  9999,  9999,  7, -3071,  487,  882
  5888,  305,  256,  467,  394,  1388,  9999,  9999,  6, -3330,  3774, -1662
  5969,  305,  266,  444,  419,  1353,  9999,  9999,  3, -3304,  2456, -1454
  6050,  305,  265,  419,  449,  1276,  9999,  9999,  4, -3116,  1515, -1485
  6131,  305,  268,  394,  484,  1202,  9999,  9999,  2, -2962,  1542, -118
  6212,  305,  265,  370,  523,  1126,  9999,  9999,  2, -2866,  731, -4083
  6293,  305,  288,  350,  525,  1050,  9999,  9999, -5, -2183,  1377, -245
  6374,  305,  286,  328,  487,  968,  9999,  9999, -2, -890, -591, -2998
  6455,  305,  305,  310,  452,  880,  9999,  9999, -6,  1502, -275, -3721
  6536,  305,  305,  790,  410,  779,  9999,  9999,  2,  1795, -426,  419
  6617,  305,  305,  1048,  370,  685,  9999,  9999,  14,  2719,  175, -1172
  6698,  305,  305,  976,  326,  596,  7999,  9999,  25, -597,  2077,  2322
  6779,  305,  305,  914,  288,  522,  7999,  9999,  34, -8267,  5538, -3081
  6860,  305,  277,  863,  273,  474,  7999,  9999,  35, -12804,  1621, -966
  6941,  305,  265,  835,  290,  442,  7999,  9999,  35, -14246,  2161, -5164
  7022,  305,  275,  832,  319,  432,  7999,  9999,  35, -14268,  3408,  282
  7103,  305,  268,  858,  264,  449,  7999,  9999,  35, -13759,  2285, -406
  7184,  305,  275,  933,  221,  494,  7999,  9999,  35, -14736,  3767, -1751
  7264,  305,  268,  938,  203,  438,  7999,  9999,  35, -13460,  5828, -3830
  7345,  305,  254,  917,  202,  411,  7999,  9999,  35, -14930,  3104,  885
  7426,  305,  255,  917,  223,  385,  6999,  8999,  35, -14257,  1976, -2668
  7508,  305,  256,  947,  253,  389,  6999,  8999,  35, -15484,  4345, -2557
  7588,  305,  255,  1031,  215,  427,  7999,  9999,  35, -15083,  1787, -840
  7669,  305,  257,  1231,  190,  543,  7999,  9999,  32, -14806,  2538,  1152
  7750,  305,  258,  1663,  183,  514,  7999,  9999,  35, -14922,  2943, -3916
  7831,  305,  264,  2902,  193,  500,  7999,  9999,  35, -14762,  1500, -2851
  7912,  305,  256,  4000,  225,  507,  7999,  9999,  35, -15273,  1916,  538
  7993,  305,  264,  2943,  288,  550,  7999,  9999,  31, -15451,  1338,  1602
  8075,  305,  286,  1347,  287,  683,  9999,  9999,  14, -15740,  2392, -3742
  8155,  305,  286,  917,  272,  956,  7999,  9999,  16, -13423, -370, -244
  8236,  305,  273,  706,  274,  1533,  9999,  9999,  12, -14294,  1672, -370
  8317,  305,  267,  560,  298,  3479,  9999,  9999,  8, -10490,  2166, -432
  8398,  305,  274,  470,  336,  3540,  9999,  9999,  4, -8119,  3094,  622
  8479,  305,  285,  416,  383,  3612,  9999,  9999,  1, -5619,  136,  1793
  8560,  305,  276,  375,  432,  3468,  9999,  9999,  2, -3310,  948, -965
  8642,  305,  276,  347,  473,  2273,  9999,  9999, -1, -2079,  877, -3262
  8722,  305,  289,  324,  509,  1973,  9999,  9999, -4, -1369,  318, -856
  8803,  305,  298,  306,  536,  1817,  9999,  9999, -5,  102, -343,  127
  8884,  305,  305,  291,  558,  1800,  9999,  9999, -5,  1600, -1801, -2933
  8964,  305,  298,  282,  562,  1971,  9999,  9999, -5,  2698,  473, -2731
  9045,  305,  305,  279,  553,  2665,  9999,  9999, -6,  2161,  270, -676
  9126,  305,  305,  277,  545,  2973,  9999,  9999, -6,  2659, -2296, -970
  9207,  305,  305,  279,  531,  2861,  9999,  9999, -5,  2813,  476, -3010
  9288,  305,  305,  286,  514,  2731,  9999,  9999, -5,  2374, -497,  42
  9369,  305,  305,  295,  498,  2602,  9999,  9999, -4,  2893,  1972,  1493
  9450,  305,  305,  301,  478,  2476,  9999,  9999, -4,  2358,  194, -819
  9531,  305,  305,  310,  458,  2357,  9999,  9999, -3,  3125,  116, -132
  9612,  305,  297,  338,  435,  2244,  9999,  9999,  0,  2887, -487, -2796
  9693,  305,  290,  369,  405,  2119,  9999,  9999,  0,  2401, -879, -836
  9774,  305,  275,  403,  383,  2021,  9999,  9999,  5,  1851, -836, -3425
  9855,  305,  276,  434,  361,  1930,  9999,  9999,  3,  1491, -365, -1640
  9936,  305,  287,  457,  347,  1849,  9999,  9999,  3, -1873,  1815, -235
  10017,  305,  277,  464,  339,  1776,  9999,  9999,  6, -1573,  2540, -388
  10098,  305,  286,  468,  332,  1706,  9999,  9999,  4, -2204,  301, -812
  10179,  291,  298,  458,  329,  1640,  9999,  9999,  2, -2155,  756, -3989
