time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  13979,  305,  305,  492,  380,  2949,  9999,  9999,  5,  252,  141, -1021
  14060,  305,  305,  495,  377,  3756,  9999,  9999,  5,  390, -1223,  9697
  14141,  305,  305,  493,  374,  3196,  9999,  9999,  4, -725,  2414,  192
  14222,  305,  305,  476,  394,  2674,  9999,  9999,  4, -1978,  2310,  84
  14303,  305,  298,  451,  424,  2309,  9999,  9999,  3, -2344, -2673, -2693
  14385,  305,  296,  425,  461,  1991,  9999,  9999,  2, -2711, -703, -1467
  14466,  305,  296,  396,  506,  1674,  9999,  9999,  1, -2536,  2475,  540
  14547,  305,  287,  364,  552,  1451,  9999,  9999,  1, -2087,  3431, -803
  14628,  305,  305,  332,  609,  1270,  9999,  9999, -6, -1541, -380,  1448
  14709,  305,  305,  302,  670,  1125,  9999,  9999, -4, -1303, -471, -4863
  14790,  291,  305,  274,  719,  1071,  9999,  9999, -6,  1692, -275, -92
  14871,  291,  305,  252,  734,  1086,  9999,  9999, -6,  2563,  58, -13
  14952,  270,  305,  235,  733,  1138,  9999,  9999, -8,  2304, -252, -33
  15033,  305,  305,  223,  721,  1229,  9999,  9999, -7,  2700, -1553, -146
  15114,  269,  305,  215,  705,  1408,  9999,  9999, -13,  3923, -559, -608
  15195,  251,  305,  213,  677,  1746,  9999,  9999, -8,  3835, -1645, -2225
  15276,  235,  305,  218,  639,  2409,  9999,  9999, -9,  5633, -2263, -2316
  15358,  236,  305,  236,  587,  2587,  9999,  9999, -5,  6571, -300,  971
  15439,  258,  305,  266,  535,  2574,  9999,  9999, -2,  5953, -3468, -4870
  15520,  275,  305,  308,  509,  2567,  9999,  9999, -1,  4612, -87, -801
  15601,  305,  305,  351,  472,  2535,  9999,  9999,  2,  2026,  771, -384
  15682,  305,  305,  386,  441,  2485,  9999,  9999,  0,  1603,  618, -1415
  15763,  305,  305,  420,  415,  2418,  9999,  9999,  2,  532, -1925, -969
  15844,  270,  305,  443,  392,  2336,  9999,  9999,  0, -430,  1092, -1220
  15925,  305,  288,  459,  371,  2251,  9999,  9999,  12,  249, -811, -131
  16006,  305,  298,  482,  351,  2170,  9999,  9999,  1, -721,  1342, -665
  16087,  291,  288,  490,  334,  2041,  9999,  9999,  5, -4699,  3344, -792
  16168,  305,  305,  469,  335,  1901,  9999,  9999,  4, -3408, -577, -274
  16249,  305,  286,  456,  336,  1785,  9999,  9999,  5, -2537,  340, -2759
  16330,  305,  298,  445,  337,  1686,  9999,  9999,  1, -2355,  799, -1283
  16412,  305,  305,  433,  346,  1580,  9999,  9999,  2, -2372,  91, -3705
  16493,  305,  297,  420,  360,  1480,  9999,  9999,  2, -1784,  440,  906
  16574,  305,  305,  405,  371,  1386,  9999,  9999,  1, -1940,  284, -324
  16655,  305,  305,  392,  384,  1289,  9999,  9999,  1, -1193, -1621, -295
  16736,  305,  305,  377,  400,  1202,  9999,  9999,  0, -1751,  6004,  583
  16818,  305,  305,  362,  418,  1112,  9999,  9999,  0, -1337,  3016, -692
  16898,  305,  286,  345,  439,  1028,  9999,  9999,  0, -739, -900, -844
  16979,  305,  289,  330,  579,  933,  9999,  9999, -1, -1037, -95, -1901
  17060,  305,  305,  313,  1267,  839,  9999,  9999,  0, -1193,  431, -841
  17141,  305,  305,  294,  1190,  736,  9999,  9999, -8, -678,  1087,  276
  17222,  305,  305,  271,  1113,  649,  9999,  7999, -18,  921, -1229, -738
  17303,  305,  305,  255,  1038,  569,  9999,  7999, -28,  7057, -2620, -3584
  17385,  305,  305,  262,  989,  517,  9999,  7999, -35,  11450, -2835, -1747
  17466,  305,  305,  307,  970,  491,  9999,  7999, -35,  13053, -1831, -1956
  17547,  305,  305,  380,  989,  485,  9999,  7999, -35,  13717, -2975, -2659
  17628,  305,  305,  326,  1059,  514,  9999,  7999, -35,  14608, -3496, -1497
  17709,  305,  305,  288,  1043,  571,  9999,  7999, -28,  13432, -1629, -802
  17790,  305,  305,  269,  981,  525,  9999,  7999, -34,  12831, -2240, -807
  17871,  305,  305,  267,  931,  498,  9999,  7999, -35,  13513, -1316,  1264
  17952,  305,  305,  288,  896,  488,  9999,  7999, -35,  13448, -800, -1008
  18033,  305,  305,  326,  879,  497,  9999,  7999, -35,  14274, -2409, -1293
  18114,  305,  305,  305,  883,  541,  9999,  7999, -32,  13577, -1566,  1131
  18195,  305,  305,  280,  911,  605,  9999,  7999, -24,  13997, -4467, -3879
  18276,  305,  305,  275,  997,  532,  9999,  7999, -33,  15260, -2166, -1645
  18357,  305,  305,  293,  1170,  483,  9999,  7999, -35,  14577, -3788, -15
  18439,  305,  305,  340,  1537,  451,  9999,  7999, -35,  14644, -3196, -1719
  18520,  305,  305,  389,  2672,  440,  9999,  7999, -35,  14197, -1348, -2281
  18601,  305,  305,  316,  1189,  448,  9999,  7999, -35,  12964, -2649, -1500
  18682,  305,  305,  268,  4271,  470,  9999,  7999, -35,  12670, -1792, -886
  18763,  305,  305,  237,  2083,  520,  9999,  7999, -35,  13824, -1706, -627
  18844,  305,  305,  225,  1167,  649,  9999,  7999, -18,  13712,  253, -1500
  18925,  305,  305,  228,  841,  931,  9999,  9999, -10,  13646, -2914,  44
  19006,  305,  305,  251,  646,  1603,  9999,  9999, -7,  11295, -332,  2233
  19087,  305,  265,  285,  525,  3102,  9999,  9999,  3,  6627,  1719,  1135
  19168,  305,  266,  319,  466,  3225,  9999,  9999, -1,  4872,  1533,  2143
  19249,  305,  267,  338,  440,  3205,  9999,  9999,  0, -152,  1381, -313
  19330,  305,  268,  343,  439,  3214,  9999,  9999,  0,  78, -2767,  1011
